subset,stage_name_label,time_unit_label,time_label,datediff_unit,datediff_to_start,datediff_to_end
timeline_event,journey,Fortnight,-20,day,-280,-267
timeline_event,journey,Fortnight,-19,day,-266,-253
timeline_event,journey,Fortnight,-18,day,-252,-239
timeline_event,journey,Fortnight,-17,day,-238,-225
timeline_event,journey,Fortnight,-16,day,-224,-211
timeline_event,journey,Fortnight,-15,day,-210,-197
timeline_event,journey,Fortnight,-14,day,-196,-183
timeline_event,journey,Fortnight,-13,day,-182,-169
timeline_event,journey,Fortnight,-12,day,-168,-155
timeline_event,journey,Fortnight,-11,day,-154,-141
timeline_event,journey,Fortnight,-10,day,-140,-127
timeline_event,journey,Fortnight,-9,day,-126,-113
timeline_event,journey,Fortnight,-8,day,-112,-99
timeline_event,journey,Fortnight,-7,day,-98,-85
timeline_event,journey,Fortnight,-6,day,-84,-71
timeline_event,journey,Fortnight,-5,day,-70,-57
timeline_event,journey,Fortnight,-4,day,-56,-43
timeline_event,journey,Fortnight,-3,day,-42,-29
timeline_event,journey,Fortnight,-2,day,-28,-15
timeline_event,journey,Fortnight,-1,day,-14,-1
timeline_event,journey,Fortnight,1,day,0,13
timeline_event,journey,Fortnight,2,day,14,27
timeline_event,journey,Fortnight,3,day,28,41
timeline_event,journey,Fortnight,4,day,42,55
timeline_event,journey,Fortnight,5,day,56,69
timeline_event,journey,Fortnight,6,day,70,83
timeline_event,journey,Fortnight,7,day,84,97
timeline_event,journey,Fortnight,8,day,98,111
timeline_event,journey,Fortnight,9,day,112,125
timeline_event,journey,Fortnight,10,day,126,139
timeline_event,journey,Fortnight,11,day,140,153
timeline_event,journey,Fortnight,12,day,154,167
timeline_event,journey,Fortnight,13,day,168,181
recent_pre_post,pre_post,Year,-5,month,-69,-9
recent_pre_post,pre_post,Year,5,month,6,66
ever,pre_post,Ever,0,year,-150,150
timeline_path,journey,Entire,0,month,-9,6
